編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLRJNHMFFEF68CC,3,155.62,見其他登記事項,鋼筋混凝土造,103年10月28日,七層,
RPPNMLRJNHMFFIF09CC,7,66.35,見其他登記事項,鋼筋混凝土造,99年2月1日,十三層,
RPTOMLSJNHMFFHF96CC,42,76.26,住家用,加強磚造,64年3月26日,四層,
RPPNMLSJNHMFFEF78CC,39,86.00,住家用,鋼筋混凝土造,67年1月16日,四層,
RPQOMLSJNHMFFBF68CC,22,88.25,住家用,鋼筋混凝土造,84年7月6日,七層,
RPQOMLSJNHMFFBF68CC,22,5.80,共有部份,鋼筋混凝土造,84年7月6日,七層,
RPQOMLSJNHMFFBF68CC,22,39.53,共有部份,鋼筋混凝土造,84年7月6日,七層,
RPRUMLSJNHMFFBF76CC,2,67.60,見其他登記事項,鋼筋混凝土造,104年5月14日,十二層,
RPRUMLSJNHMFFBF76CC,2,62.28,見其他登記事項,鋼筋混凝土造,104年5月14日,十五層,
RPTOMLSJNHMFFAF88CC,,144.10,見其他登記事項,鋼筋混凝土造,105年11月24日,十三層,
RPQPMLSJNHMFFAF68CC,43,83.60,住家用,加強磚造,63年1月19日,二層,
RPXNMLSJNHMFFDF86CC,23,234.55,工業用,鋼筋混凝土造,83年1月15日,十四層,
RPXNMLSJNHMFFDF86CC,23,81.42,工業用,鋼筋混凝土造,83年1月15日,十四層,
RPQOMLSJNHMFFDF88CC,23,397.26,工商用,鋼造,83年3月30日,二十一層,
RPQOMLSJNHMFFDF88CC,23,398.12,工商用,鋼造,83年3月30日,二十一層,
RPSOMLSJNHMFFDF09CC,4,187.56,商業用,鋼筋混凝土造,102年10月2日,十八層,
RPSOMLSJNHMFFDF09CC,4,84.55,見其他登記事項,鋼筋混凝土造,102年10月2日,十八層,
RPSOMLSJNHMFFDF09CC,4,12.46,見其他登記事項,鋼筋混凝土造,102年10月2日,十八層,
RPRPMLSJNHMFFDF09CC,29,374.50,住工用,鋼筋混凝土造,77年3月6日,二層,
RPPNMLTJNHMFFDF78CC,5,67.04,住家用,鋼筋混凝土造,100年12月23日,二十九層,
RPQNMLTJNHMFFCF78CC,28,123.43,住家用,鋼筋混凝土造,77年12月5日,十二層,
RPQNMLTJNHMFFCF78CC,28,21.61,共有部分,鋼筋混凝土造,77年12月5日,十二層,
RPPNMLTJNHMFFBF58CC,21,63.80,住家用,鋼筋混凝土造,85年5月9日,十一層,
RPPNMLTJNHMFFBF58CC,21,12.06,共有部份,鋼筋混凝土造,85年5月9日,十一層,
RPSOMLTJNHMFFBF98CC,18,56.48,住家用,鋼筋混凝土造,88年1月26日,九層,
RPSOMLTJNHMFFBF98CC,18,8.43,共有部份,鋼筋混凝土造,88年1月26日,九層,
RPSOMLTJNHMFFBF98CC,18,10.76,共有部份,鋼筋混凝土造,88年1月26日,九層,
RPUOMLTJNHMFFBF56CC,32,108.20,工商用,鋼筋混凝土造,74年9月7日,四層,
RPVOMLTJNHMFFBF66CC,28,234.34,見其他登記事項,鋼筋混凝土造,78年2月3日,二層,
RPXPMLTJNHMFFBF96CC,3,120.46,見其他登記事項,鋼筋混凝土造,102年11月15日,十八層,
RPXPMLTJNHMFFBF96CC,3,139.74,見其他登記事項,鋼筋混凝土造,102年11月15日,十八層,
RPXPMLTJNHMFFBF96CC,3,132.35,見其他登記事項,鋼筋混凝土造,102年11月15日,十八層,
RPXPMLTJNHMFFBF96CC,3,150.85,見其他登記事項,鋼筋混凝土造,102年11月15日,十八層,
RPRQMLTJNHMFFBF09CC,7,52.96,見其他登記事項,鋼筋混凝土造,99年1月4日,十二層,
