編號,車位類別,車位價格,車位面積平方公尺
RPVNMLQKNHMFFAD48CA,坡道平面,860000,
RPQOMLQKNHMFFAD08CA,坡道平面,860000,
RPVOMLQKNHMFFAD58CA,坡道平面,960000,
RPUNMLRKNHMFFAD48CA,坡道平面,860000,
RPVNMLRKNHMFFAD58CA,坡道平面,760000,
RPSPMLRKNHMFFAD48CA,坡道平面,760000,
RPWPMLRKNHMFFAD88CA,坡道平面,760000,
RPOQMLRKNHMFFAD18CA,坡道平面,760000,
RPPPMLQKNHMFFAD08CA,坡道平面,900000,
RPRPMLQKNHMFFAD28CA,坡道平面,860000,
RPSPMLQKNHMFFAD38CA,坡道平面,860000,
RPPNMLRKNHMFFAD97CA,坡道平面,760000,
RPRNMLRKNHMFFAD18CA,坡道平面,960000,
RPSOMLMLNHMFFCD18CA,坡道平面,0,
RPXNMLMKNHMFFCD48CA,坡道平面,0,
RPVNMLRKNHMFFBD68CA,坡道機械,0,25.28
RPQOMLQLNHMFFCD38CA,坡道平面,0,
RPQOMLQLNHMFFCD38CA,坡道平面,0,
RPWNMLQKNHMFFHR08CA,坡道平面,0,
RPTNMLPKNHMFFHR67CA,坡道平面,0,22.00
RPTOMLSKNHMFFHR08CA,坡道機械,0,
RPUPMLTJNHMFFAD88DA,坡道平面,1000000,
RPOOMLLJOHMFFER56CA,一樓平面,1000000,15.74
RPSNMLPKNHMFFER27CA,坡道平面,600000,31.43
RPTOMLLJOHMFFFR17CA,坡道平面,0,
RPVNMLRKNHMFFHR08CA,坡道平面,0,
RPOOMLTKNHMFFHR67CA,坡道機械,500000,
RPWNMLKKNHMFFHR57DA,坡道機械,0,
RPWNMLLKNHMFFCD28CA,坡道機械,0,
RPSNMLKLNHMFFCD87CA,坡道機械,0,
RPUPMLLJOHMFFAD08CA,升降機械,0,
SPUPMLLJOHMFFAD18CA,升降機械,0,
RPUNMLSJOHMFFAD58CA,坡道平面,860000,30.66
RPVNMLSJOHMFFAD68CA,坡道平面,860000,30.66
RPSOMLSJOHMFFAD48CA,坡道平面,600000,27.59
RPVOMLSJOHMFFAD78CA,坡道平面,660000,31.89
RPUQMLRKNHMFFAD78CA,坡道機械,0,
RPSPMLSKNHMFFAD58CA,坡道平面,1100000,30.14
RPWNMLPLNHMFFAD58CA,坡道機械,500000,
RPQOMLNLNHMFFAD87CA,坡道平面,900000,
RPPQMLOLNHMFFAD08CA,坡道平面,1125000,
RPPQMLOLNHMFFAD08CA,坡道平面,1125000,
RPQQMLOLNHMFFAD18CA,坡道平面,1125000,
RPQQMLOLNHMFFAD18CA,坡道平面,1125000,
RPWNMLSJOHMFFAD78CA,坡道平面,960000,30.66
RPOOMLSJOHMFFAD08CA,坡道平面,960000,30.66
RPPOMLSJOHMFFAD18CA,坡道平面,960000,30.66
RPSNMLQKNHMFFCD38CA,坡道平面,1000000,
RPUNMLNKNHMFFCD28CA,坡道平面,0,
RPSNMLLMNHMFFCD08CA,坡道平面,700000,15.63
RPUNMLNKNHMFFHR57CA,坡道機械,0,
RPOOMLSKNHMFFHR57CA,坡道平面,0,22.00
RPVNMLLMNHMFFHR67CA,坡道平面,0,
RPPNMLQLNHMFFCD28DA,坡道平面,0,
RPQOMLMLNHMFFFR07CA,坡道平面,0,
RPTNMLPKNHMFFER37CA,坡道平面,600000,31.43
RPUNMLPKNHMFFER47CA,坡道平面,700000,31.43
RPRPMLLKNHMFFER96CA,坡道機械,0,
RPUNMLNJOHMFFDR17CA,升降機械,0,
RPUNMLPKNHMFFCD58DA,坡道機械,0,
RPRNMLQJOHMFFHR57CA,升降平面,0,
RPPQMLMLNHMFFHR37CA,坡道平面,0,
RPSNMLPLNHMFFHR67CA,坡道機械,0,
RPUNMLNJOHMFFHR57CA,坡道平面,0,
RPQOMLPJOHMFFCD18CA,坡道平面,0,
RPQOMLPJOHMFFCD18CA,坡道平面,0,
RPVNMLQKNHMFFCD68CA,一樓平面,0,
RPSOMLRKNHMFFCD58CA,坡道機械,0,
RPTPMLQLNHMFFAD58CA,坡道平面,0,
RPQNMLOJOHMFFAD77CA,坡道平面,1000000,
RPRNMLPJOHMFFAD97CA,坡道平面,0,
RPSQMLOLNHMFFAD38CA,坡道機械,500000,
RPXOMLOLNHMFFAD68CA,坡道機械,600000,
RPTNMLPLNHMFFAD28CA,坡道機械,500000,
RPUNMLPLNHMFFAD38CA,坡道平面,1000000,
RPVNMLPLNHMFFAD48CA,坡道平面,900000,
RPXNMLPLNHMFFAD68CA,坡道機械,600000,
RPPOMLPLNHMFFAD97CA,坡道機械,500000,
RPQOMLPLNHMFFAD08CA,坡道機械,500000,
RPROMLPLNHMFFAD18CA,坡道平面,1050000,
RPRNMLLLNHMFFAD67CA,坡道平面,0,
RPVQMLMKNHMFFAD38CA,坡道平面,0,
RPVQMLMKNHMFFAD38CA,坡道平面,0,
RPVQMLMKNHMFFAD38CA,坡道平面,0,
RPRNMLNKNHMFFAD77CA,坡道平面,0,
RPTNMLNKNHMFFAD97CA,坡道平面,0,
RPXOMLPKNHMFFAD68CA,坡道機械,0,
RPROMLQKNHMFFAD18CA,坡道平面,0,
RPVOMLSKNHMFFCD98CA,坡道平面,0,18.36
RPUNMLTKNHMFFCD88CA,坡道平面,1150000,
RPTNMLPKNHMFFCD38CA,坡道機械,0,
RPXNMLQKNHMFFBD78CA,坡道機械,0,
RPTNMLMJOHMFFBD97CA,一樓平面,0,
RPOOMLPJOHMFFCD97CA,坡道平面,0,25.33
RPSNMLQJOHMFFCD38CA,坡道平面,0,25.33
RPRNMLNKNHMFFHR27CA,坡道平面,0,
RPSOMLQLNHMFFHR87CA,坡道平面,0,
RPTNMLKLNHMFFGR17CA,一樓平面,0,
RPROMLKLNHMFFGR07CA,一樓平面,0,
RPRNMLKLNHMFFER76CA,其他,550000,7.30
RPPOMLSKNHMFFER37CA,坡道平面,0,
RPPNMLRKNHMFFER17CA,一樓平面,0,
RPSOMLKLNHMFFGR17CA,一樓平面,0,
RPPNMLLLNHMFFGR86CA,一樓平面,0,
RPQNMLLLNHMFFGR96CA,一樓平面,0,
RPRNMLLLNHMFFGR07CA,一樓平面,0,
RPSNMLLLNHMFFGR17CA,一樓平面,0,
RPTNMLLLNHMFFGR27CA,一樓平面,0,
RPUNMLLLNHMFFGR37CA,一樓平面,0,
RPUNMLKLNHMFFGR27CA,一樓平面,0,
RPVNMLKLNHMFFGR37CA,一樓平面,0,
RPWNMLKLNHMFFGR47CA,一樓平面,0,
RPXNMLKLNHMFFGR57CA,一樓平面,0,
RPQOMLKLNHMFFGR96CA,一樓平面,0,
RPOQMLMLNHMFFHR27CA,坡道平面,0,
RPTNMLLJOHMFFHR27CA,坡道平面,0,
RPTOMLRKNHMFFCD78DA,坡道平面,0,
RPPOMLTKNHMFFHR77CA,坡道平面,1000000,
RPTNMLRKNHMFFHR87CA,坡道平面,0,
RPSQMLRKNHMFFAD58CA,坡道平面,0,
RPSOMLPJOHMFFAD18CA,升降機械,0,
RPXNMLSKNHMFFAD88CA,坡道平面,1100000,
RPOOMLSKNHMFFAD08CA,坡道平面,1100000,
RPTOMLPLNHMFFAD38CA,坡道機械,550000,
RPVOMLPLNHMFFAD58CA,坡道平面,1000000,
RPXOMLPLNHMFFAD78CA,坡道機械,600000,
RPWPMLPLNHMFFAD78CA,坡道機械,0,
RPQNMLNLNHMFFAD77CA,坡道機械,0,
RPVNMLNLNHMFFAD28CA,坡道機械,300000,
