編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRNMLLKNHMFFAV76CA,23,.46,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.66,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.46,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.46,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.46,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.18,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.37,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.46,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.46,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPRNMLLKNHMFFAV76CA,23,.46,見其他登記事項,鋼筋混凝土造,83年5月16日,十三層,
RPPNMLKKNHMFFAV09CA,43,100.45,住家用,加強磚造,62年12月15日,二層,一層 二層
RPUNMLTKNHMFFAV97DA,9,122.78,見其他登記事項,見其他登記事項,96年11月19日,三層,一層 二層 三層 騎樓
RPSNMLNLNHMFFAV17CA,23,65.78,見其他登記事項,鋼筋混凝土造,83年4月19日,十四層,九層
RPSNMLNLNHMFFAV17CA,23,20.51,見其他登記事項,鋼筋混凝土造,83年4月19日,十四層,
RPTNMLLKNHMFFAV96CA,24,31.01,見其他登記事項,鋼筋混凝土造,82年5月22日,十二層,四層
RPTNMLLKNHMFFAV96CA,24,4.03,共有部分,鋼筋混凝土造,82年5月22日,十二層,
RPTNMLLKNHMFFAV96CA,24,8.49,見其他登記事項,鋼筋混凝土造,82年5月22日,十二層,
RPPNMLMKNHMFFAV66CA,18,149.91,住家用,鋼筋混凝土造,88年1月13日,三層,一層 二層 三層
RPQOMLMKNHMFFAV86CA,22,29.44,見其他登記事項,鋼筋混凝土造,84年2月21日,五層,四層
RPQOMLMKNHMFFAV86CA,22,7.61,見其他登記事項,鋼筋混凝土造,84年2月21日,五層,
RPQOMLMKNHMFFAV86CA,22,7.38,見其他登記事項,鋼筋混凝土造,84年2月21日,五層,
RPQOMLMKNHMFFAV86CA,22,1.71,共有部分,鋼筋混凝土造,84年2月21日,五層,
RPXNMLRKNHMFFAV97CA,22,61.21,見其他登記事項,鋼筋混凝土造,84年2月17日,八層,八層
RPVNMLMKNHMFFAV27CA,29,125.56,住家用,加強磚造,77年7月7日,二層,一層 二層
RPTNMLTKNHMFFAV77CA,39,65.40,住家用,見其他登記事項,66年12月10日,二層,一層 騎樓
