鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,2.96,商,,,1051229,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,34.15,1,1,1,有,有,7800000,228404,,0.0,0,,SPWOMLOKOHMFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,5.95,商,,,1051229,土地1建物1車位0,十一層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,71.59,1,1,1,有,有,17300000,241654,,0.0,0,,TPWOMLOKOHMFFBA58CA
萬華區,房地(土地+建物)+車位,臺北市萬華區西寧南路301~330號,4.8,商,,,1051229,土地1建物1車位1,十三層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,66.17,1,1,1,有,有,15700000,257340,升降機械,10.99,1500000,,UPWOMLOKOHMFFBA68CA
萬華區,房地(土地+建物)+車位,臺北市萬華區西寧南路301~330號,3.29,商,,,1051229,土地1建物1車位1,十三層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,49.58,1,1,1,有,有,11400000,256543,升降機械,10.99,1500000,,VPWOMLOKOHMFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,3.35,商,,,1051229,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,40.3,1,1,1,有,有,9200000,228288,,0.0,0,,RPXOMLOKOHMFFBA48CA
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,3.32,商,,,1051229,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,40.95,1,1,1,有,有,9300000,227106,,0.0,0,,SPXOMLOKOHMFFBA58CA
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,3.49,商,,,1051229,土地1建物1車位0,八層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,42.760000000000005,1,1,1,有,有,9700000,226848,,0.0,0,,TPXOMLOKOHMFFBA68CA
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,5.14,商,,,1051229,土地1建物1車位0,十層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,59.36,1,1,1,有,有,13500000,227426,,0.0,0,,UPXOMLOKOHMFFBA78CA
萬華區,房地(土地+建物),臺北市萬華區西寧南路301~330號,3.49,商,,,1051229,土地1建物1車位0,四層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,1050701,42.760000000000005,1,1,1,有,有,9500000,222170,,0.0,0,,VPXOMLOKOHMFFBA88CA
士林區,房地(土地+建物),臺北市士林區天母北路28巷1~30號,34.55,住,,,1060101,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0741216,124.09,3,2,2,有,無,17500000,141027,,0.0,0,,RPOPMLPKOHMFFEA18DA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段8巷1~30號,12.45,商,,,1060116,土地2建物1車位1,三層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041014,80.52,0,0,0,無,有,20250000,251490,塔式車位,17.43,0,,RPTOMLPKOHMFFAA08CA
中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路二段8巷1~30號,13.96,商,,,1060315,土地0建物1車位1,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041014,89.38,0,0,0,無,有,24400000,272992,塔式車位,17.43,0,,RPQOMLPKOHMFFAA77CA
萬華區,房地(土地+建物),臺北市萬華區長沙街二段61~90號,2.89,商,,,1060330,土地1建物1車位0,九層,二十二層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0860726,35.11,1,1,1,有,有,4600000,131017,,0.0,0,,RPQPMLRJOHMFFBA08CA
內湖區,房地(土地+建物),臺北市內湖區新明路246巷3弄1~30號,36.37,工,,,1060330,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,0770204,137.58,3,2,2,有,無,10000000,72685,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVNMLNJOHMFFCA08CA
士林區,房地(土地+建物),臺北市士林區德行東路181~210號,20.0,住,,,1060301,土地1建物1車位0,一層，騎樓,四層,店面(店鋪),住家用,鋼筋混凝土造,0660301,70.86,0,0,0,無,無,21000000,296359,,0.0,0,,RPPNMLPJOHMFFEA87CA
萬華區,車位,臺北市萬華區西園路一段136巷1~30號,3.43,商,,,1060215,土地0建物0車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,0771227,31.41,0,0,0,有,有,1117353,,升降機械,0.0,1117353,,RPXOMLRJOHMFFBA78DA
北投區,土地,開明段一小段31~60地號,28.6,住,,,1060401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2442440,85400,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLQJOHMFFEA68CA
萬華區,房地(土地+建物),臺北市萬華區環河南路一段151~180號,62.19,住,,,1060328,土地2建物1車位0,全,一層,透天厝,,木造,,19.01,0,0,0,無,無,13650000,718043,,0.0,0,親友關係間之交易。,RPWOMLRJOHMFFBA58CA
大同區,房地(土地+建物),臺北市大同區重慶北路二段16巷31~60號,48.0,商,,,1060412,土地2建物1車位0,全,三層,透天厝,,加強磚造,,112.32,2,2,2,有,無,12780000,113782,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLNKOHMFFBA67CA
大安區,房地(土地+建物)+車位,臺北市大安區金山南路二段132巷1~30號,25.79,住,,,1060301,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030106,136.95,0,0,1,無,有,36000000,284392,升降機械,18.1,2200000,,RPXNMLPJOHMFFFA78CA
文山區,車位,臺北市文山區辛亥路四段77巷92弄1~30號,2.04,住,,,1060402,土地0建物0車位1,,,其他,,,,36.26,0,0,0,有,有,1620000,,坡道平面,36.26,1620000,,RPTNMLOKNHMFFAA87DA
文山區,土地,華興段四小段1~30地號,2.0,住,,,1060411,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,375200,187600,,0.0,0,向政府機關承購之案件。,RPWNMLTKNHMFFAA68DA
大同區,房地(土地+建物),臺北市大同區安西街91巷1~30號,6.01,其他,,,1051228,土地3建物1車位0,一層,二層,公寓(5樓含以下無電梯),,加強磚造,,5.45,3,2,2,有,無,600000,110092,,0.0,0,,RPTOMLMLNHMFFBA97DA
大同區,房地(土地+建物),臺北市大同區承德路三段208巷61~90號,20.2,住,,,1060414,土地1建物2車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0720630,110.37,2,2,1,有,有,4200000,38054,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLMJNHMFFBA47DA
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路1~30號,19.29,商,,,1051129,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990413,236.52,4,2,2,有,有,46460000,211422,坡道機械,30.96,3000000,,RPWNMLMJNHMFFBA97DA
萬華區,房地(土地+建物),臺北市萬華區萬大路493巷12弄1~30號,76.0,住,,,1060220,土地1建物2車位0,一層，騎樓,二層,公寓(5樓含以下無電梯),住家用,加強磚造,0521007,139.92,0,0,0,無,無,14500000,103631,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPOMLMJNHMFFBA37DA
大同區,房地(土地+建物),臺北市大同區延平北路三段18巷31~60號,17.75,住,,,1060322,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0660119,61.78,0,3,1,有,無,11380000,184202,,0.0,0,含增建或未登記建物,RPSNMLQJNHMFFBA97DA
中山區,房地(土地+建物),臺北市中山區龍江路45巷1~30號,25.0,住,,,1060116,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,73.7,5,2,1,有,無,13380000,181547,,0.0,0,含增建或未登記建物。,RPXOMLTJNHMFFCA98DA
