編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPROMLOLNHMFFBQ86CA,12,6.37,見其他登記事項,鋼筋混凝土造,94年1月3日,五層,
RPPNMLRJNHMFFCQ76CA,13,192.67,見其他登記事項,鋼筋混凝土造,93年1月30日,三層,一層 二層 三層
RPTNMLOJNHMFFBQ76CA,22,133.47,住家用,鋼筋混凝土造,84年5月31日,三層,一層 二層 三層
RPVNMLOJNHMFFDQ17CA,11,146.62,住家用,鋼筋混凝土造,94年12月29日,三層,一層 二層 三層
RPROMLPKNHMFFCQ96CA,,204.24,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPSOMLPKNHMFFCQ07CA,,187.76,見其他登記事項,鋼筋混凝土造,106年2月20日,三層,一層 二層 三層 見其他登記事項
RPSNMLRKNHMFFCQ17CA,,239.38,住家用,鋼筋混凝土造,106年2月7日,四層,一層 二層 三層 四層
RPTNMLNLNHMFFCQ96CA,1,243.29,住家用,鋼筋混凝土造,105年6月16日,四層,一層 二層 三層 四層
RPUOMLPJNHMFFCQ17CA,22,216.96,住家用,鋼筋混凝土造,84年8月8日,三層,一層 二層 三層 電梯樓梯間
RPRNMLSJNHMFFDQ17CA,39,106.98,住商用,鋼筋混凝土加強磚造,67年6月30日,二層,一層 二層 騎樓
RPVNMLTJNHMFFCQ57CA,1,188.42,見其他登記事項,鋼筋混凝土造,105年6月2日,三層,一層 二層 三層 見其他登記事項
RPXNMLPJNHMFFCQ47DA,38,160.19,住商用,鋼筋混凝土加強磚造,68年2月15日,三層,一層 二層 三層 騎樓
RPSNMLMJOHMFFDQ76CA,21,174.66,住商用,鋼筋混凝土造,85年1月15日,三層,一層 二層 三層
RPSNMLKLNHMFFDQ66CA,49,231.09,住家用,鋼筋混凝土加強磚造,57年3月25日,二層,一層 二層
RPPNMLSJNHMFFCQ07EA,35,149.95,住商用,鋼筋混凝土加強磚造,71年7月3日,二層,一層 二層 騎樓 電梯樓梯間
RPOOMLLJOHMFFCQ98DA,39,243.10,住商用,鋼筋混凝土加強磚造,67年1月9日,四層,一層 二層 三層 四層 騎樓 地下層
