編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLOKMHMFFDR57DC,39,156.52,住商用,加強磚造,67年8月4日,三層,
RPOOMLOKMHMFFHR27CC,32,120.56,住家用,鋼筋混凝土造,74年6月1日,二層,
RPQRMLOLMHMFFAD38CC,47,174.37,住家用,加強磚造,59年1月13日,三層,
RPRPMLPLMHMFFAD38CC,36,193.42,住家用,鋼筋混凝土造,70年6月8日,三層,
RPSPMLPLMHMFFAD48CC,15,77.93,見其他登記事項,鋼筋混凝土造,91年1月2日,四層,
RPWOMLQLMHMFFAD88CC,25,253.92,住商用,鋼筋混凝土造,81年7月25日,四層,
RPTOMLRLMHMFFAD68CC,44,94.40,住家用,加強磚造,62年10月15日,二層,
RPRNMLRLMHMFFHR87CC,7,161.13,住家用,鋼筋混凝土造,99年4月2日,三層,
RPTNMLRLMHMFFHR08CC,23,188.28,住家用,鋼筋混凝土造,83年8月26日,四層,
RPTOMLRLMHMFFDR87DC,37,132.53,住商用,加強磚造,69年5月19日,二層,
RPOOMLSLMHMFFFR57CC,21,233.02,住家用,鋼筋混凝土造,85年4月9日,四層,
RPROMLSLMHMFFHR08CC,34,92.96,住家用,加強磚造,71年12月9日,二層,
RPTPMLSLMHMFFAD88CC,37,74.22,,鋼筋混凝土造,69年6月16日,二層,
RPQNMLKMMHMFFHR17CC,31,132.89,住家用,鋼筋混凝土造,75年2月3日,二層,
RPQOMLLJNHMFFCR66CC,23,174.30,住家用,鋼筋混凝土造,83年9月12日,三層,
RPRPMLLJNHMFFCD08CC,26,184.48,商業用,見其他登記事項,80年4月26日,一層,
RPRPMLLJNHMFFCD08CC,26,129.20,商業用,見其他登記事項,80年4月26日,一層,
RPXNMLMJNHMFFCD58CC,21,276.40,住商用,鋼筋混凝土構造,84年10月30日,三層,
RPUOMLMJNHMFFAD18CC,25,235.02,商業用,鋼筋混凝土造,80年12月12日,十七層,
RPTNMLMJNHMFFAD08DC,11,332.59,見其他登記事項,見其他登記事項,95年5月19日,四層,
RPQNMLMJNHMFFAR09CC,22,264.97,住家用,鋼筋混凝土造,83年12月9日,四層,
RPROMLMJNHMFFHR37CC,19,69.11,住家用,鋼筋混凝土造,87年10月26日,十一層,
RPVNMLNJNHMFFHR77CC,50,93.05,住家用,加強磚造,56年10月1日,一層,
RPVNMLNJNHMFFHR77CC,50,70.19,住家用,加強磚造,56年10月1日,一層,
RPWNMLNJNHMFFHR87CC,33,110.87,住家用,加強磚造,73年10月9日,二層,
RPOOMLNJNHMFFCD87CC,22,65.95,住家用,鋼筋混凝土構造,83年12月16日,十六層,
RPOOMLNJNHMFFCD87CC,22,20.16,共有部分,鋼筋混凝土構造,83年12月16日,十六層,
RPOOMLNJNHMFFCD87CC,22,13.40,共有部分,鋼筋混凝土構造,83年12月16日,十六層,
RPXNMLNJNHMFFER67CC,30,156.29,住商用,鋼筋混凝土造,76年3月26日,三層,
RPWNMLOJNHMFFAD48CC,11,62.24,見其他登記事項,見其他登記事項,95年7月13日,九層,
RPXNMLOJNHMFFHR08CC,9,52.12,住家用,鋼筋混凝土造,97年9月3日,十四層,
RPXNMLOJNHMFFHR08CC,9,20.36,共有部分,鋼筋混凝土造,97年9月3日,十四層,
RPQOMLPJNHMFFHR57CC,24,132.54,住家用,鋼筋混凝土造,82年8月27日,十六層,
RPQOMLPJNHMFFHR57CC,24,18.04,共有部分,鋼筋混凝土造,82年8月27日,十五層,
RPQOMLPJNHMFFHR57CC,24,18.57,見其他登記事項,鋼筋混凝土造,82年8月27日,十六層,
RPOPMLPJNHMFFHR47CC,18,117.54,國民住宅,鋼筋混凝土造,88年8月24日,十四層,
RPUOMLPJNHMFFAD48CC,39,6.14,共有部分,鋼筋混凝土造,66年12月2日,七層,
RPUOMLPJNHMFFAD48CC,39,17.78,住家用,鋼筋混凝土造,66年12月2日,七層,
RPQPMLPJNHMFFAD18CC,33,125.86,住家用,鋼筋混凝土造,72年11月30日,五層,
RPQPMLPJNHMFFAD18CC,33,20.48,共有部分,鋼筋混凝土造,72年11月30日,五層,
RPVNMLPJNHMFFCD68CC,35,74.68,住家用,鋼筋混凝土構造,71年10月29日,五層,
RPVNMLPJNHMFFCD68CC,35,17.13,共有部分,鋼筋混凝土構造,71年10月29日,五層,
RPOOMLPJNHMFFCD08CC,24,55.39,住家用,鋼筋混凝土構造,82年6月9日,十六層,
RPOOMLPJNHMFFCD08CC,24,10.61,共有部分,鋼筋混凝土構造,82年6月9日,十六層,
RPOOMLPJNHMFFCD08CC,24,7.31,共有部分,鋼筋混凝土構造,82年6月9日,十六層,
RPROMLPJNHMFFCD38CC,23,88.23,住家用,鋼筋混凝土構造,83年4月1日,十四層,
RPROMLPJNHMFFCD38CC,23,23.87,共有部分,鋼筋混凝土構造,83年4月1日,十四層,
RPWOMLPJNHMFFCD88CC,20,38.20,見其他登記事項,鋼筋混凝土構造,85年12月28日,五層,
RPPOMLSJNHMFFCD48CC,30,208.24,商業用,見其他登記事項,76年6月4日,一層,
RPXNMLTJNHMFFCD66CC,37,80.47,住家用,鋼筋混凝土構造,68年12月14日,五層,
RPXNMLTJNHMFFCD66CC,37,13.58,共有部分,鋼筋混凝土構造,68年12月14日,五層,
RPXNMLTJNHMFFAD09CC,29,65.84,住家用,鋼筋混凝土造,77年4月5日,五層,
RPXNMLTJNHMFFAD09CC,29,4.41,共有部分,鋼筋混凝土造,77年4月5日,五層,
RPOOMLTJNHMFFAD28CC,28,211.59,住家用,鋼筋混凝土造,78年9月7日,三層,
RPROMLTJNHMFFAD58CC,22,16.02,住家用,鋼筋混凝土造,83年12月16日,十三層,
RPROMLTJNHMFFAD58CC,22,5.57,共有部分,鋼筋混凝土造,83年12月16日,十三層,
RPSOMLTJNHMFFAD68CC,10,124.95,見其他登記事項,見其他登記事項,96年1月11日,十四層,
RPSOMLTJNHMFFAD68CC,10,13.95,共有部分,見其他登記事項,96年1月11日,14,
RPSOMLTJNHMFFAD68CC,10,46.30,共有部分,見其他登記事項,96年1月11日,十四層,
