鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.79000000000002,3,2,2,有,有,10490000,62519,坡道平面,0.0,0,,RPSOMLKKOHMFFCJ58CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,33.43,住,,,1060424,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,198.04,4,2,2,有,有,12980000,65542,坡道平面,0.0,0,,RPTOMLKKOHMFFCJ68CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,34.32,住,,,1060424,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,202.57999999999998,4,2,2,有,有,12850000,63432,坡道平面,0.0,0,,RPUOMLKKOHMFFCJ78CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.36,住,,,1060424,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,179.55,3,2,2,有,有,11040000,61487,坡道平面,0.0,0,,RPVOMLKKOHMFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.93,3,2,2,有,有,11020000,62639,坡道平面,0.0,0,,RPWOMLKKOHMFFCJ98CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.79000000000002,3,2,2,有,有,10770000,64187,坡道平面,0.0,0,,RPXOMLKKOHMFFCJ09CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,33.43,住,,,1060424,土地1建物1車位2,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,222.82999999999998,4,2,2,有,有,13790000,61886,坡道平面,0.0,0,,RPOPMLKKOHMFFCJ28CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,34.32,住,,,1060424,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,202.58999999999997,4,2,2,有,有,13150000,64909,坡道平面,0.0,0,,RPPPMLKKOHMFFCJ38CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.11,住,,,1060424,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.56,3,2,2,有,有,11200000,63796,坡道平面,0.0,0,,RPQPMLKKOHMFFCJ48CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.93,3,2,2,有,有,11030000,62695,坡道平面,0.0,0,,RPRPMLKKOHMFFCJ58CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,33.43,住,,,1060424,土地1建物1車位2,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,222.82999999999998,4,2,2,有,有,13950000,62604,坡道平面,0.0,0,,RPTPMLKKOHMFFCJ78CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.11,住,,,1060424,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.56,3,2,2,有,有,11420000,65049,坡道平面,0.0,0,,RPUPMLKKOHMFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.36,住,,,1060424,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,179.53,3,2,2,有,有,11210000,62441,坡道平面,0.0,0,,RPVPMLKKOHMFFCJ98CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.93,3,2,2,有,有,11350000,64514,坡道平面,0.0,0,,RPWPMLKKOHMFFCJ09CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.79000000000002,3,2,2,有,有,10780000,64247,坡道平面,0.0,0,,RPXPMLKKOHMFFCJ56CA
