鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
三重區,建物,新北市三重區重陽路一段121~150號,0.0,商,,,1051115,土地0建物2車位0,見其他登記事項,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670601,164.0,4,2,2,有,無,無,25000,152,,0.0,0,,RPQOMLRJKILFFGF78CC
永和區,建物,新北市永和區仁愛路91~120號,0.0,住,,,1051014,土地0建物1車位0,見其他登記事項,5,店面(店鋪),住家用,鋼筋混凝土造,0651022,118.06,2,1,2,有,無,無,55000,466,,0.0,0,,RPRPMLSJKILFFHF56CC
新莊區,房地(土地+建物),新北市新莊區建安街91~120號,483.54,住,,,1051129,土地4建物6車位0,見其他登記事項,2,店面(店鋪),商業用,鋼筋混凝土造,0690123,770.79,0,0,0,無,無,無,230000,298,,0.0,0,,RPQPMLMKKILFFBF08DC
樹林區,房地(土地+建物),新北市樹林區保安街一段211~240號,155.95,工,,,1051201,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0741216,361.92,0,0,0,無,無,無,50000,138,,0.0,0,增建約10坪(謄本登記總面積317.34平方公尺)105.12.23起租,RPWNMLNKKILFFIF76EC
五股區,房地(土地+建物),新北市五股區五工二路91~120號,778.0,,工業區,丁種建築用地,1051206,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0811015,510.92,0,0,0,無,無,無,200000,,,0.0,0,租金未稅,RPVUMLOKKILFFBF56CC
新莊區,房地(土地+建物)+車位,新北市新莊區思源路192巷31~60號,43.48,住,,,1051205,土地1建物1車位1,見其他登記事項,2,店面(店鋪),見其他登記事項,鋼筋混凝土造,1000915,251.6,0,0,0,無,無,無,50000,199,坡道平面,30.21,0,,RPWNMLKLKILFFBF28CC
三重區,建物,新北市三重區中正北路315巷6弄1~30號,0.0,工,,,1051205,土地0建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0730131,219.09,4,1,3,有,無,無,30000,137,,0.0,0,,RPUQMLLLKILFFGF98CC
三峽區,房地(土地+建物)+車位,新北市三峽區介壽路三段91~120號,2064.0,,特定農業區,丁種建築用地,1051101,土地1建物4車位4,見其他登記事項,4,工廠,見其他登記事項,見其他登記事項,1021225,5948.48,0,0,0,無,無,無,1400000,,一樓平面,171.24,0,,RPUNMLRLKILFFIF86CC
林口區,建物,新北市林口區仁愛路二段1~30號,0.0,住,,,1051208,土地0建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0840719,313.5,0,0,0,無,有,無,70000,223,,0.0,0,第1-3年租金7萬元第4-5年租金7萬2千1百元,RPRNMLSLKILFFBF68DC
永和區,建物,新北市永和區中正路331~360號,107.0,商,,,1051222,土地0建物4車位0,見其他登記事項,4,店面(店鋪),住家用,加強磚造,0621214,404.16,0,9,7,有,無,無,130000,322,,0.0,0,,RPTNMLLMKILFFHF78CC
五股區,房地(土地+建物),新北市五股區五工三路91~120號,2586.99,,工業區,丁種建築用地,1051221,土地1建物1車位0,見其他登記事項,2,工廠,工業用,見其他登記事項,0960409,1178.38,0,0,0,無,有,無,340000,,,0.0,0,,RPSQMLNJJHMFFBF18CC
新莊區,房地(土地+建物),新北市新莊區建國二路61~90號,1350.0,工,,,1060106,土地1建物1車位0,見其他登記事項,1,工廠,工業用,鋼造,0770504,600.2,0,0,0,無,無,無,180000,,,0.0,0,,RPVRMLTJJHMFFBF56CC
淡水區,房地(土地+建物),新北市淡水區中正路31~60號,75.29,商,,,1060101,土地1建物1車位0,見其他登記事項,2,店面(店鋪),住商用,加強磚造,0560201,153.0,0,0,0,無,無,無,80000,523,,0.0,0,,RPWTMLKKJHMFFEF56EC
板橋區,房地(土地+建物),新北市土城區四川路1~30號,84.53,工,,,1051125,土地4建物1車位0,見其他登記事項,3,店面(店鋪),住家用,加強磚造,0581128,203.91,0,0,0,無,無,無,55000,270,,0.0,0,,RPURMLKKJHMFFAF38EC
五股區,房地(土地+建物),新北市五股區成泰路二段147巷1~30號,140.74,工,,,1051201,土地1建物1車位0,見其他登記事項,3,廠辦,工業用,鋼筋混凝土造,0691014,303.87,0,0,0,無,無,有,20000,66,,0.0,0,,RPRPMLMKJHMFFBF97CC
淡水區,房地(土地+建物)+車位,新北市淡水區新巿一路一段281巷61~90號,136.33,住,,,1060109,土地1建物1車位1,全,4,透天厝,住家用,鋼筋混凝土造,0971106,329.94,4,2,2,有,有,無,30000,91,坡道平面,4.54,0,,RPQNMLPKJHMFFEF28CC
五股區,房地(土地+建物),新北市五股區五權七路31~60號,1115.4,,工業區,丁種建築用地,1051228,土地1建物1車位0,見其他登記事項,1,廠辦,見其他登記事項,見其他登記事項,0800726,1031.54,0,0,0,無,無,無,283500,275,,0.0,0,租金含營業稅 原申報書序號:C1FB10601100076,RPQPMLQKJHMFFBF28CC
板橋區,建物,新北市板橋區館前東路31~60號,0.0,商,,,1051125,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0691103,94.38,0,0,1,有,無,無,85000,901,,0.0,0,,RPTOMLQKJHMFFAF58EC
三峽區,房地(土地+建物),新北市三峽區成福路105巷1~30號,831.0,,山坡地保育區,丁種建築用地,1060105,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,,255.43,0,0,0,無,無,有,100000,,,0.0,0,,RPPPMLOLJHMFFIF78CC
新莊區,房地(土地+建物),新北市新莊區中正路541~570號,399.85,工,,,1051230,土地2建物2車位0,見其他登記事項,2,工廠,工業用,鋼筋混凝土造,0670313,603.34,0,0,0,無,無,無,120000,,,0.0,0,租金未稅含增建或未登記建物。,RPXVMLPLJHMFFBF96CC
三重區,建物,新北市三重區光復路一段68巷24弄1~30號,0.0,工,,,1060106,土地0建物2車位0,見其他登記事項,1,工廠,工業用,見其他登記事項,0550630,552.45,0,0,0,無,無,無,230000,,,0.0,0,月租金含稅含增建或未登記建物。,RPSNMLQLJHMFFGF88CC
樹林區,房地(土地+建物),新北市樹林區水源街32巷1~30號,109.63,住,,,1060116,土地2建物2車位0,全,2,透天厝,住家用,加強磚造,,154.39,6,1,3,有,無,無,29515,191,,0.0,0,,RPQNMLRJKHMFFIF98DC
淡水區,建物,新北市淡水區中正路91~120號,0.0,商,,,1060113,土地0建物2車位0,見其他登記事項,5,店面(店鋪),商業用,鋼筋混凝土造,0700827,177.1,0,0,0,無,無,無,170000,960,,0.0,0,,RPROMLTJKHMFFEF88CC
中和區,建物,新北市中和區中山路二段340巷31~60號,0.0,工,,,1060118,土地0建物2車位0,全,2,透天厝,工商用,鋼筋混凝土造,0761219,561.12,0,0,0,無,無,無,140000,250,,0.0,0,,RPRPMLTJKHMFFHF66CC
三芝區,建物,新北市三芝區楓林二街1~30號,0.0,,山坡地保育區,丙種建築用地,1060117,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0700310,167.98,2,1,2,有,有,有,24500,146,,0.0,0,,RPVOMLKKKHMFFEF48CC
中和區,建物,新北市中和區連城路1~30號,0.0,住,,,1060123,土地0建物0車位0,見其他登記事項,4,店面(店鋪),住商用,加強磚造,0590518,170.04,0,2,2,有,無,無,70000,412,,0.0,0,,RPVNMLSKKHMFFHF86CC
新莊區,房地(土地+建物),新北市新莊區復興路三段31~60號,725.57,工,,,1060120,土地1建物1車位0,見其他登記事項,3,廠辦,見其他登記事項,鋼筋混凝土造,0950331,1153.46,0,0,0,無,有,無,268000,232,,0.0,0,,RPQTMLKLKHMFFBF28CC
三重區,建物,新北市三重區忠孝路三段40巷31~60號,0.0,住,,,1060307,土地0建物2車位0,見其他登記事項,4,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0661125,154.0,0,0,0,無,無,無,40000,260,,0.0,0,,RPPNMLSJLHMFFGF78CC
永和區,房地(土地+建物),新北市永和區永和路一段61~90號,119.59,商,,,1051212,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0570313,234.89,1,0,0,無,無,無,70000,298,,0.0,0,"含四樓增建,第三年起租金改為75000元,原申報書序號：C2F10512130014",RPXOMLMLLHMFFHF96EC
淡水區,建物,新北市淡水區中正東路31~60號,0.0,,,,1060327,土地0建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0611107,279.59,0,0,0,無,無,無,136224,487,,0.0,0,,RPTQMLKLMHMFFEF78CC
板橋區,房地(土地+建物),新北市板橋區永豐街61~90號,30.25,住,,,1060401,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0651127,80.99,0,0,0,無,無,無,15000,185,,0.0,0,,RPQOMLLJNHMFFAF87CC
新店區,房地(土地+建物)+車位,新北市新店區安康路一段151~180號,29.65,住,,,1060401,土地1建物1車位1,一層,4,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1050429,89.93,2,1,1,有,有,無,21000,234,坡道平面,36.86,0,,RPWNMLLJNHMFFCF58CC
新店區,房地(土地+建物),新北市新店區安康路一段151~180號,19.3,住,,,1060401,土地1建物1車位0,一層,4,公寓(5樓含以下無電梯),見其他登記事項,見其他登記事項,1050429,60.82,0,0,0,無,有,無,21500,354,,0.0,0,,RPXNMLLJNHMFFCF68CC
汐止區,房地(土地+建物),新北市汐止區大同路二段211~240號,0.0,其他,,,1060401,土地2建物1車位0,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0850710,85.15,2,2,1,有,有,無,15000,176,,0.0,0,,RPTNMLLJNHMFFDF38CC
汐止區,房地(土地+建物),新北市汐止區復興路1~30號,0.0,商,,,1060401,土地3建物1車位0,四層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961009,81.21,2,2,1,有,有,有,19500,240,,0.0,0,,RPVNMLLJNHMFFDF58CC
汐止區,房地(土地+建物),新北市汐止區福德二路151~180號,16.51,住,,,1060317,土地1建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811229,103.34,3,2,2,有,無,有,20000,194,,0.0,0,,RPOPMLLJNHMFFDF08CC
汐止區,房地(土地+建物)+車位,新北市汐止區仁愛路151巷1~30號,12.04,住,,,1060319,土地1建物1車位1,十六層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980520,99.2,2,2,1,有,有,有,18500,186,坡道機械,14.98,0,,RPPPMLLJNHMFFDF18CC
板橋區,房地(土地+建物),新北市板橋區文化路一段361~390號,2.77,住,,,1060201,土地1建物1車位0,二十一層,43,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,54.15,2,2,1,有,有,有,25000,462,,0.0,0,,RPPNMLLJNHMFFAF87EC
土城區,房地(土地+建物)+車位,新北市土城區中華路一段31~60號,28.04,工,,,1060301,土地1建物1車位1,四層,14,廠辦,見其他登記事項,鋼筋混凝土造,1050602,194.82,0,0,0,無,無,無,29500,151,坡道平面,31.69,0,,RPQNMLLJNHMFFAF97EC
新店區,土地,莊敬段721~750地號,2400.0,農,,,1060407,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,100000,42,,0.0,0,,RPQNMLLJNHMFFCF08DC
汐止區,建物,新北市汐止區龍安路28巷1~30號,0.0,商,,,1060327,土地0建物1車位0,五層,26,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0860703,36.84,1,0,1,有,有,有,10000,271,,0.0,0,,RPPOMLMJNHMFFDF38EC
汐止區,建物,新北市汐止區龍安路28巷1~30號,0.0,商,,,1060325,土地0建物1車位0,八層,26,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860703,41.84,1,0,1,有,有,有,10000,239,,0.0,0,,RPQOMLMJNHMFFDF48EC
汐止區,建物,新北市汐止區新臺五路一段61~90號,0.0,工,,,1060314,土地0建物1車位1,十七層,20,廠辦,工商用,鋼造,0830330,142.55,0,0,0,無,有,無,28000,196,坡道平面,31.5,0,此為分租戶,RPROMLMJNHMFFDF58EC
汐止區,建物,新北市汐止區汐萬路一段181~210號,0.0,住,,,1060326,土地0建物1車位0,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040605,108.29,2,2,1,有,有,無,19000,175,,0.0,0,,RPSOMLMJNHMFFDF68EC
汐止區,車位,新北市汐止區大同路三段601~630號,8.86,住,,,1060401,土地0建物0車位1,地下三層,,住宅大樓(11層含以上有電梯),,,,42.69,0,0,0,有,有,無,3000,,坡道平面,42.69,3000,1.含管理費(每坪500元)。,RPVOMLMJNHMFFDF98EC
